epoch_a,epoch_b,n_samples,cka_value
80,110,2040,0.82499
80,120,2040,0.780666
80,130,2040,0.802371
80,140,2040,0.776803
80,150,2040,0.770303
80,160,2040,0.760782
80,170,2040,0.762659
80,180,2040,0.769714
80,190,2040,0.774261
80,200,2040,0.774901
90,90,2040,1.0
90,100,2040,0.836737
90,110,2040,0.839075
90,120,2040,0.817052
90,130,2040,0.824245
90,140,2040,0.797742
90,150,2040,0.794049
90,160,2040,0.7931
90,170,2040,0.785025
90,180,2040,0.795823
90,190,2040,0.795106
90,200,2040,0.799034
100,100,2040,1.0
100,110,2040,0.843684
100,120,2040,0.816208
100,130,2040,0.824402
100,140,2040,0.819378
100,150,2040,0.797751
100,160,2040,0.795931
100,170,2040,0.797869
100,180,2040,0.806787
100,190,2040,0.808434
100,200,2040,0.809376
110,110,2040,1.0
110,120,2040,0.865636
110,130,2040,0.850953
110,140,2040,0.855227
110,150,2040,0.849865
110,160,2040,0.838661
110,170,2040,0.839208
110,180,2040,0.84558
110,190,2040,0.847297
110,200,2040,0.847552
120,120,2040,1.0
120,130,2040,0.853961
120,140,2040,0.856215
120,150,2040,0.82814
120,160,2040,0.840815
120,170,2040,0.838563
120,180,2040,0.843273
120,190,2040,0.843212
120,200,2040,0.84563
130,130,2040,1.0
130,140,2040,0.865398
130,150,2040,0.864259
130,160,2040,0.869123
130,170,2040,0.869729
130,180,2040,0.873729
130,190,2040,0.87354
130,200,2040,0.874844
140,140,2040,1.0
140,150,2040,0.876983
140,160,2040,0.880033
140,170,2040,0.886358
140,180,2040,0.887885
140,190,2040,0.886497
140,200,2040,0.887998
150,150,2040,1.0
150,160,2040,0.905288
150,170,2040,0.908489
150,180,2040,0.907244
150,190,2040,0.90744
150,200,2040,0.907418
160,160,2040,1.0
160,170,2040,0.939419
160,180,2040,0.943655
160,190,2040,0.941576
160,200,2040,0.94195
170,170,2040,1.0
170,180,2040,0.983627
170,190,2040,0.982724
170,200,2040,0.983045
180,180,2040,1.0
180,190,2040,0.997066
180,200,2040,0.997657
190,190,2040,1.0
190,200,2040,0.999187
200,200,2040,1.0
